alpha,gamma,decay,reward
0.1,0.99,0.99,25.69159258517991
0.1,0.99,0.9924999999999999,28.071071375648277
0.1,0.99,0.995,28.70491882057244
0.1,0.99,0.9975,36.56447488130113
0.1,0.99,1.0,34.880933946004056
0.1,0.9924999999999999,0.99,39.18589879450366
0.1,0.9924999999999999,0.9924999999999999,32.30948762233768
0.1,0.9924999999999999,0.995,33.04478528427397
0.1,0.9924999999999999,0.9975,34.2871105280052
0.1,0.9924999999999999,1.0,40.7674695790571
0.1,0.995,0.99,29.849345923266966
0.1,0.995,0.9924999999999999,28.533921825718977
0.1,0.995,0.995,42.0458629287277
0.1,0.995,0.9975,44.34992355885389
0.1,0.995,1.0,38.6248811275921
0.1,0.9975,0.99,44.11380249558862
0.1,0.9975,0.9924999999999999,38.03409961325363
0.1,0.9975,0.995,37.39624290593991
0.1,0.9975,0.9975,41.568776755363714
0.1,0.9975,1.0,38.7218970558201
0.1,1.0,0.99,39.49809120872541
0.1,1.0,0.9924999999999999,30.585980585225393
0.1,1.0,0.995,48.84995667669135
0.1,1.0,0.9975,35.08459034754368
0.1,1.0,1.0,42.49414782353981
0.30000000000000004,0.99,0.99,29.51866866532413
0.30000000000000004,0.99,0.9924999999999999,27.09055276773827
0.30000000000000004,0.99,0.995,45.69366520571121
0.30000000000000004,0.99,0.9975,46.73343607613494
0.30000000000000004,0.99,1.0,38.959620679563926
0.30000000000000004,0.9924999999999999,0.99,22.04911248086995
0.30000000000000004,0.9924999999999999,0.9924999999999999,32.70616616565186
0.30000000000000004,0.9924999999999999,0.995,29.625791185987964
0.30000000000000004,0.9924999999999999,0.9975,44.23044661704342
0.30000000000000004,0.9924999999999999,1.0,44.75406362941979
0.30000000000000004,0.995,0.99,31.995310131355158
0.30000000000000004,0.995,0.9924999999999999,33.557653013195356
0.30000000000000004,0.995,0.995,40.5658088062791
0.30000000000000004,0.995,0.9975,30.425800562947874
0.30000000000000004,0.995,1.0,47.15451457078022
0.30000000000000004,0.9975,0.99,26.535868189089825
0.30000000000000004,0.9975,0.9924999999999999,31.89733418542352
0.30000000000000004,0.9975,0.995,25.89902498774038
0.30000000000000004,0.9975,0.9975,34.771218958913956
0.30000000000000004,0.9975,1.0,35.7421333363472
0.30000000000000004,1.0,0.99,31.705233435984265
0.30000000000000004,1.0,0.9924999999999999,32.82002962396662
0.30000000000000004,1.0,0.995,35.35133965591241
0.30000000000000004,1.0,0.9975,40.361428920115195
0.30000000000000004,1.0,1.0,33.54461661314951
0.5,0.99,0.99,23.68123888797558
0.5,0.99,0.9924999999999999,23.388016751441093
0.5,0.99,0.995,36.75227031784302
0.5,0.99,0.9975,41.89874810399
0.5,0.99,1.0,31.399803926430987
0.5,0.9924999999999999,0.99,24.116807422255217
0.5,0.9924999999999999,0.9924999999999999,27.594676291079907
0.5,0.9924999999999999,0.995,29.09642255011981
0.5,0.9924999999999999,0.9975,41.41980489701082
0.5,0.9924999999999999,1.0,35.57024658879966
0.5,0.995,0.99,30.637887032906917
0.5,0.995,0.9924999999999999,26.864418722564714
0.5,0.995,0.995,27.790681016642733
0.5,0.995,0.9975,33.82464992211901
0.5,0.995,1.0,31.351525079851726
0.5,0.9975,0.99,32.05442898334173
0.5,0.9975,0.9924999999999999,39.11529420570607
0.5,0.9975,0.995,27.660184400318567
0.5,0.9975,0.9975,33.99952982416108
0.5,0.9975,1.0,43.65502530086635
0.5,1.0,0.99,25.301853577990897
0.5,1.0,0.9924999999999999,28.429381862270848
0.5,1.0,0.995,48.85309137407554
0.5,1.0,0.9975,51.34210269880701
0.5,1.0,1.0,40.08654671512586
0.7000000000000001,0.99,0.99,22.291774600229207
0.7000000000000001,0.99,0.9924999999999999,33.29043818429016
0.7000000000000001,0.99,0.995,36.153694873064346
0.7000000000000001,0.99,0.9975,35.7374014866095
0.7000000000000001,0.99,1.0,38.42239042730286
0.7000000000000001,0.9924999999999999,0.99,30.602328397299463
0.7000000000000001,0.9924999999999999,0.9924999999999999,24.65552871362436
0.7000000000000001,0.9924999999999999,0.995,36.284477534994274
0.7000000000000001,0.9924999999999999,0.9975,53.11625998560377
0.7000000000000001,0.9924999999999999,1.0,34.39525499363526
0.7000000000000001,0.995,0.99,23.519314942968848
0.7000000000000001,0.995,0.9924999999999999,30.799508932068342
0.7000000000000001,0.995,0.995,40.51961495871242
0.7000000000000001,0.995,0.9975,43.294156682611494
0.7000000000000001,0.995,1.0,34.11161145691382
0.7000000000000001,0.9975,0.99,33.70977862772695
0.7000000000000001,0.9975,0.9924999999999999,24.824342871530003
0.7000000000000001,0.9975,0.995,34.12162500316423
0.7000000000000001,0.9975,0.9975,40.48211549394018
0.7000000000000001,0.9975,1.0,30.591726749600262
0.7000000000000001,1.0,0.99,27.092910950069836
0.7000000000000001,1.0,0.9924999999999999,36.27627686495399
0.7000000000000001,1.0,0.995,46.49667781289521
0.7000000000000001,1.0,0.9975,42.25479775040217
0.7000000000000001,1.0,1.0,30.601716577181307
0.9,0.99,0.99,30.466218323339753
0.9,0.99,0.9924999999999999,28.329794913032103
0.9,0.99,0.995,39.958949911154605
0.9,0.99,0.9975,40.82207677339067
0.9,0.99,1.0,46.884453616841874
0.9,0.9924999999999999,0.99,32.61072487597769
0.9,0.9924999999999999,0.9924999999999999,25.025877047518435
0.9,0.9924999999999999,0.995,31.89932849446521
0.9,0.9924999999999999,0.9975,45.75569875898923
0.9,0.9924999999999999,1.0,33.87465608394668
0.9,0.995,0.99,26.09444506863582
0.9,0.995,0.9924999999999999,28.436230100860104
0.9,0.995,0.995,41.01108778929784
0.9,0.995,0.9975,31.63550320713934
0.9,0.995,1.0,36.27749638081334
0.9,0.9975,0.99,30.5772892311817
0.9,0.9975,0.9924999999999999,31.85751197897171
0.9,0.9975,0.995,34.07443475088786
0.9,0.9975,0.9975,28.28902001128557
0.9,0.9975,1.0,34.76053505686102
0.9,1.0,0.99,21.36335867890361
0.9,1.0,0.9924999999999999,31.4002330447562
0.9,1.0,0.995,28.99695906226589
0.9,1.0,0.9975,35.23734980984363
0.9,1.0,1.0,34.043529956506276
